id,description,title,repin_count,text
188658671886296211,"With our Hero from @302finejewelry, you don’t have to choose, you can have it all. This sculptural cascade of gemstones is a colorful treasure and makes an unforgettable gift, especially if it’s for yourself. Perfect for elevating your everyday style and making special occasions even more special, these charming earrings will give you rainbows year-round, no rain required. See how our editors styled these beauties here.",This ShopBAZAAR Hero Is The Perfect Gift To Give & To Get,0,"this shopbazaar hero is the perfect gift to give & to get with our hero from @302finejewelry, you don’t have to choose, you can have it all. this sculptural cascade of gemstones is a colorful treasure and makes an unforgettable gift, especially if it’s for yourself. perfect for elevating your everyday style and making special occasions even more special, these charming earrings will give you rainbows year-round, no rain required. see how our editors styled these beauties here."
188658671886295455,"Holiday dressing doesn't have to equate to cocktail dresses and floor-length gowns—a little bit of sparkle and a simple top is perfect for your office holiday party! Shop our edit of luxurious festive pieces from Azeeza, Saint Laurent, The Row, Bottega Veneta, and more.",Don't Know What to Wear to Your Office Holiday Party? We've Got You Covered,5,"don't know what to wear to your office holiday party? we've got you covered holiday dressing doesn't have to equate to cocktail dresses and floor-length gowns—a little bit of sparkle and a simple top is perfect for your office holiday party! shop our edit of luxurious festive pieces from azeeza, saint laurent, the row, bottega veneta, and more."
188658671886294847,"You are the present this holiday season in this little metallic mini from Paco Rabanne. ✨ Take a break from focusing on what to give others, and unwrap yourself a gift that won't ever lose its sparkle. The party guests are sure to be dazzled, and your look will be unforgettable as you make your entrance shining like a disco ball. Shop more pieces to wow them all winter long here.",Mesmerizing Metallic Pieces You Need For Holiday Party Season,2,"mesmerizing metallic pieces you need for holiday party season you are the present this holiday season in this little metallic mini from paco rabanne. ✨ take a break from focusing on what to give others, and unwrap yourself a gift that won't ever lose its sparkle. the party guests are sure to be dazzled, and your look will be unforgettable as you make your entrance shining like a disco ball. shop more pieces to wow them all winter long here."
188658671886291949,"If you're searching for the perfect gift for the hostess in your life (yourself included), look no further than the rainbow of glassware from Estelle Colored Glass. Jewel-toned wine glasses and pastel coupes only start our collection of handblown pieces you can use to upgrade your bar cart for the new year, as they have something for everyone: chic decanters, smokey rock glasses, pristine champagne flutes, exclusive martini sets, and so much more.",Here's What You Need To Upgrade Your Bar Cart Before The Holidays,7,"here's what you need to upgrade your bar cart before the holidays if you're searching for the perfect gift for the hostess in your life (yourself included), look no further than the rainbow of glassware from estelle colored glass. jewel-toned wine glasses and pastel coupes only start our collection of handblown pieces you can use to upgrade your bar cart for the new year, as they have something for everyone: chic decanters, smokey rock glasses, pristine champagne flutes, exclusive martini sets, and so much more."
188658671886291251,"As we gear up towards holiday season, your loved ones deserve only the best of the best when it comes to gifting (yourself included). If you're shopping for the fashion lover in your close circle, consider luxury knitwear or a designer jacket—something they'll most definitely use for seasons to come. Shop everything you need here.",Here's What To Buy The Fashion Lover In Your Life For The Holidays,3,"here's what to buy the fashion lover in your life for the holidays as we gear up towards holiday season, your loved ones deserve only the best of the best when it comes to gifting (yourself included). if you're shopping for the fashion lover in your close circle, consider luxury knitwear or a designer jacket—something they'll most definitely use for seasons to come. shop everything you need here."
188658671886288678,"Yes, your holiday outfit is extremely important, but you can't forget about accessories when you're really trying to wow them. For luxe hats to pearl necklaces to chic sunglasses, shop here!",Don't Forget to Accessorize Your Holiday Party Looks!,5,"don't forget to accessorize your holiday party looks! yes, your holiday outfit is extremely important, but you can't forget about accessories when you're really trying to wow them. for luxe hats to pearl necklaces to chic sunglasses, shop here!"
188658671886288029,"We love a Miu Miu moment, and their latest mini bags in every color are adding up on our holiday gift lists! Shop for your perfect Miu Miu purse (and more) here.",You Need These Miu Miu Must-Haves,5,"you need these miu miu must-haves we love a miu miu moment, and their latest mini bags in every color are adding up on our holiday gift lists! shop for your perfect miu miu purse (and more) here."
188658671886287132,"Don't forget to add holiday knits and bright jumpers to your gift list! These festive and oh-so-warm tops will be the perfect companions this winter to keep you stylish and feeling like yourself without shivering every time you leave the house. From the office to the party, you're sure to find cozy comfort in our edit of stand-out sweaters: bright pink and oversized, fur-lined and cropped, crystal-embellished and distressed, and so much more.",Winter Brights You Need to Stand Out in the Snow,6,"winter brights you need to stand out in the snow don't forget to add holiday knits and bright jumpers to your gift list! these festive and oh-so-warm tops will be the perfect companions this winter to keep you stylish and feeling like yourself without shivering every time you leave the house. from the office to the party, you're sure to find cozy comfort in our edit of stand-out sweaters: bright pink and oversized, fur-lined and cropped, crystal-embellished and distressed, and so much more."
188658671886285034,"'Tis the season to embrace that aprés ski lifestyle yet again as we enter the snowy winter months. Whether you're actually hitting the slopes or simply want to look the part, you'll need some upgraded cold weather attire that walks the line between sporty and cozy. Shop leather ankle boots, oversized turtlenecks, cashmere scarves, hydrating lipsticks, and shearling coats for a mountain-ready look. Harper's BAZAAR, 2016 Photography by Julia Noni Styling by Elissa Santisi",How to Dress Like You're Headed for the Ski Lodge (Even if You're Not),4,"how to dress like you're headed for the ski lodge (even if you're not) 'tis the season to embrace that aprés ski lifestyle yet again as we enter the snowy winter months. whether you're actually hitting the slopes or simply want to look the part, you'll need some upgraded cold weather attire that walks the line between sporty and cozy. shop leather ankle boots, oversized turtlenecks, cashmere scarves, hydrating lipsticks, and shearling coats for a mountain-ready look. harper's bazaar, 2016 photography by julia noni styling by elissa santisi"
188658671886284334,"She's creepy and she's kooky, and she's taking the fashion world by storm: Wednesday Addams is, once again, a goth style icon. We at ShopBAZAAR are already using Jenna Ortega's rendition of the eldest Addams sibling as our winter outfit inspo—and our holiday lists definitely reflect our newfound obsession! But no matter what your personal style looks like (a.k.a. if you have actual color in your wardrobe), you have to admit that her dark and elegant Rave'N Dance look is absolutely stunning.",How to Dress Like Wednesday Addams at the Rave'N Dance,4,"how to dress like wednesday addams at the rave'n dance she's creepy and she's kooky, and she's taking the fashion world by storm: wednesday addams is, once again, a goth style icon. we at shopbazaar are already using jenna ortega's rendition of the eldest addams sibling as our winter outfit inspo—and our holiday lists definitely reflect our newfound obsession! but no matter what your personal style looks like (a.k.a. if you have actual color in your wardrobe), you have to admit that her dark and elegant rave'n dance look is absolutely stunning."
